user_pseudo_id,diff_cnt_fail,diff_cnt_retry,diff_cnt_level_up,diff_max_level,diff_num_distinct_levels,diff_max_score,diff_mean_score,diff_cnt_scores
21D6C4F2FF2E17F16218CFC5CC3BD27E,4,9,5,25,7,21,8.6,5
239B36D8ED2161D10687A09C0EF34477,3,17,14,24,17,21,3.612903225806451,31
2AA7CE8A30BD25743594101C76B46A6B,0,2,2,17,3,8,6.0,2
AD7FE81D1728816D750882661E542B6D,6,12,4,31,6,5,1.1666666666666665,6
C484E0C2C549F6C66493BE08F065D467,54,78,25,26,26,21,4.2,25
82C4C434811FFE6491CD496EFEA96382,7,38,30,31,32,21,5.1470588235294095,34
7D9E4CD01C4E4F1768A0DF5CDFDD7753,11,11,13,13,14,21,4.153846153846154,26
6C40A2B1B7C2336EDCE4B9F346682A72,1,1,14,14,14,21,7.071428571428571,14
377A7FEC96BEA692E4F4AE9B7D64CC4F,1,4,2,31,5,5,2.3333333333333335,3
93CE02A528E41C078FDB04857CCDA48C,3,27,25,26,26,21,6.119999999999999,25
7BC896B5CC75D3773F5A58175CEB59A0,0,10,10,28,12,21,7.6,10
3BA5D621AA0E44896D007BED18927D1E,7,15,15,16,17,21,5.0357142857142865,28
8D9C05A55BA5E45A83F5A8605E6AF594,8,27,20,22,21,14,4.75,20
22744902811A4056F2B1111F11541818,17,12,25,20,20,21,5.4399999999999995,25
90ABF11960A1D40165B3881340422918,0,1,1,21,2,1,1.0,1
6C07A737EA896840697ACE56AC23A3A9,0,20,20,20,20,21,6.0,20
06FC465CE7377E44C22F05D2A83EAED2,33,18,18,19,20,21,3.894736842105263,19
3692DEBDE0AF4BD5ECAE3C901BAA86F4,0,0,0,19,1,,,0
04642AC8247317441C678A94CB1ECCC7,31,54,33,25,26,21,3.6486486486486487,37
C63DEA9268BFD2A88E2DD0AFDC55C6A4,15,21,2,31,4,1,0.27272727272727276,11
FBB24C8D588093143C8ECF4F955E1AFE,0,3,3,13,4,14,8.0,3
27859DA5E38F4C681DA4FBF0CFB9F306,1,22,21,22,22,21,6.0,21
F815B786873376C0A296AB5731FB8524,13,45,32,14,14,21,6.53125,32
97FFC38A9083C9546D4FB70E0662EB46,0,1,1,15,2,4,4.0,1
9C9B38CA12D7CE419ABD7356BA7872F6,0,1,1,24,2,5,5.0,1
86F42088972973829EC309093CF67201,3,2,0,28,2,,,0
037EE2BF567582E3E022B42F6A779E08,0,0,2,13,3,13,11.5,2
B3370DB593A99E2BE0C021EBAC2B33A5,0,0,0,16,6,,,0
73B5AB14D7337DBC27B5971333E9EB28,12,9,0,24,24,,,0
AFF505867FBB44A2101B2F9E75B14586,0,0,0,24,1,,,0
09F46BDB8C79B7AA6995BF03548804CD,0,2,2,26,4,21,16.5,2
0EFE51A674278F299A90802A80A797E8,0,0,0,20,1,,,0
A7993B3D9E693DFD3EA57CF4D1B8D00F,1,20,22,23,24,21,6.000000000000001,27
735D0773BF0193D26BA48A56D1C69CAB,1,12,12,12,12,21,7.249999999999999,12
F37F33D51B7F64F56246B3D372252658,0,1,1,31,2,0,0.0,1
295D9E24D8DE65A010313E667131EF19,15,29,18,19,20,21,5.05,20
0160043392B1572A375E5C3BE1BB0C31,23,53,30,31,32,21,5.838709677419356,31
AD4F00389084ECC4B5362689C228EB0F,1,15,14,14,14,21,6.214285714285715,14
8BE7BF90C971453A34C1FF6FF2A0ACAE,120,62,31,31,32,21,3.0405405405405412,74
D2FA3B4591AE2EA33C64D7802698D9FA,0,0,0,20,1,,,0
880C220698D2A32CF0709DD95857AB60,1,8,8,17,9,12,5.875,8
07D5951C19A83B2CB9C8BA9319B5A9FD,4,38,35,26,26,21,6.342857142857143,35
42CAF88542680DC1A0671B91943E6089,0,0,12,13,13,19,7.499999999999999,12
3F15D8D167BBBFA96BC09026D13DFAC1,7,32,25,26,26,19,4.04,25
